log_file,filename,full_aig_path,status,time,frame,sat_solving_time,sat_solving_percent,total_time
fastfir-p052_log.txt,fastfir-p052.aig,./others/fastfir/aig/fastfir-p052.aig,PROVED,0.02,24,91.84,72.32,126.99
oski15a10b06s_log.txt,oski15a10b06s.aig,./hwmcc15/oski15a10b06s.aig,UNKNOWN,,N/A,N/A,N/A,N/A
cal206_log.txt,cal206.aig,./hwmcc1920ns/cal206.aig,UNKNOWN,,N/A,N/A,N/A,N/A
viselevatorp2_log.txt,viselevatorp2.aig,./hwmcc08/viselevatorp2.aig,BUG,0.02,4,0.0,6.77,0.02
oski15a10b07s_log.txt,oski15a10b07s.aig,./hwmcc15/oski15a10b07s.aig,BUG,11.21,4,4.56,40.76,11.19
fastfir-p042_log.txt,fastfir-p042.aig,./others/fastfir/aig/fastfir-p042.aig,PROVED,0.0,12,0.44,45.73,0.96
gauss_sum.i.p+lhb-reducer_log.txt,gauss_sum.i.p+lhb-reducer.aig,./hwmcc24/2024/sosylab/loop-new/gauss_sum.i.p+lhb-reducer.aig,UNKNOWN,,N/A,N/A,N/A,N/A
cal216_log.txt,cal216.aig,./avr/industry/cal216/cal216.aig,UNKNOWN,,N/A,N/A,N/A,N/A
bobtuint20neg_log.txt,bobtuint20neg.aig,./hwmcc11/single/bobtuint20neg.aig,PROVED,0.0,3,0.0,2.29,0.02
qspiflash_dualflexpress_divfive-p063_log.txt,qspiflash_dualflexpress_divfive-p063.aig,./hwmcc24/2019/wolf/2019C/qspiflash_dualflexpress_divfive-p063.aig,PROVED,0.01,182,40.98,82.54,49.65
bobtuint17neg_log.txt,bobtuint17neg.aig,./hwmcc11/single/bobtuint17neg.aig,PROVED,0.0,7,0.0,18.07,0.02
imgfifo-p049_log.txt,imgfifo-p049.aig,./others/vgasim-imgfifo/aig/imgfifo-p049.aig,UNKNOWN,,N/A,N/A,N/A,N/A
lcm2_unwindbound50_log.txt,lcm2_unwindbound50.aig,./hwmcc24/2024/sosylab/nla-digbench-scaling/lcm2_unwindbound50.aig,UNKNOWN,,N/A,N/A,N/A,N/A
imgfifo-p059_log.txt,imgfifo-p059.aig,./others/vgasim-imgfifo/aig/imgfifo-p059.aig,PROVED,0.0,1,0.0,0.05,0.02
gen69_log.txt,gen69.aig,./avr/industry/gen69/gen69.aig,PROVED,0.06,2,8.44,60.18,14.03
dspfilters_fastfir_second-p05_log.txt,dspfilters_fastfir_second-p05.aig,./hwmcc1920/aig-1.8/dspfilters_fastfir_second-p05.aig,PROVED,2.88,24,1108.65,57.22,1937.4
6s198_log.txt,6s198.aig,./hwmcc13/single/6s198.aig,UNKNOWN,,N/A,N/A,N/A,N/A
gen79_log.txt,gen79.aig,./avr/industry/gen79/gen79.aig,PROVED,0.05,2,8.14,60.66,13.42
139454p6neg_log.txt,139454p6neg.aig,./hwmcc08/139454p6neg.aig,BUG,3.43,5,1.23,36.0,3.42
dspfilters_fastfir_second-p15_log.txt,dspfilters_fastfir_second-p15.aig,./hwmcc19/single/aig/wolf/2019C/dspfilters_fastfir_second-p15.aig,PROVED,2.36,27,622.32,63.37,982.12
139443p5neg_log.txt,139443p5neg.aig,./hwmcc08/139443p5neg.aig,BUG,0.79,5,0.28,36.01,0.79
6s274r_log.txt,6s274r.aig,./hwmcc13/single/6s274r.aig,UNKNOWN,,N/A,N/A,N/A,N/A
6s188_log.txt,6s188.aig,./hwmcc13/single/6s188.aig,UNKNOWN,,N/A,N/A,N/A,N/A
vgasim_imgfifo-p109_log.txt,vgasim_imgfifo-p109.aig,./hwmcc20/aig-1.8/vgasim_imgfifo-p109.aig,UNKNOWN,,N/A,N/A,N/A,N/A
ethernet_log.txt,ethernet.aig,./avr/opensource/ethernet/ethernet.aig,BUG,0.23,6,0.14,60.33,0.23
pdtvisgigamax2_log.txt,pdtvisgigamax2.aig,./hwmcc11/single/pdtvisgigamax2.aig,PROVED,0.0,2,0.0,14.94,0.03
cal160_log.txt,cal160.aig,./avr/industry/cal160/cal160.aig,PROVED,0.0,2,0.0,1.15,0.1
mul8_log.txt,mul8.aig,./avr/industry/mul8/mul8.aig,UNKNOWN,,N/A,N/A,N/A,N/A
pdtviscoherence0_log.txt,pdtviscoherence0.aig,./hwmcc08/pdtviscoherence0.aig,BUG,0.03,4,0.01,23.02,0.03
139442p0_log.txt,139442p0.aig,./hwmcc08/139442p0.aig,PROVED,0.0,4,0.05,33.76,0.14
cal170_log.txt,cal170.aig,./avr/industry/cal170/cal170.aig,PROVED,0.0,2,0.0,19.8,0.02
vgasim_imgfifo-p061_log.txt,vgasim_imgfifo-p061.aig,./hwmcc24/2019/wolf/2019C/vgasim_imgfifo-p061.aig,PROVED,0.0,48,0.37,75.14,0.49
eijkbs4863_log.txt,eijkbs4863.aig,./hwmcc11/single/eijkbs4863.aig,PROVED,0.13,2,1.57,80.87,1.94
