case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,mab_vs_dynamic_ratio
6s32,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.21,2270.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5852396574120964
6s309b046,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1269.36,3600.0,107.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.836074872376631,2.836074872376631,33.44481605351171
beembrdg2f1,3600.0,2353.34,3600.0,3600.0,2402.77,3600.0,2825.01,1047.54,3600.0,840.74,0.6537055555555557,1.0,0.6537055555555557,0.6537055555555557,1.0,0.9794279102868773,0.6537055555555557,1.498270745847501,1.0,0.8330377591583746,2.246539511617695,3.436622945185864,4.2819420986273995
vis_arrays_field5,0.01,3600.0,3600.0,3600.0,2049.92,3600.0,3600.0,3600.0,3600.0,15.3,360000.0,360000.0,1.0,1.0,1.0,1.7561660942866062,1.0,1.7561660942866062,1.0,1.0,1.0,1.0,235.2941176470588
6s342rb131,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,116.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.023784901758013
oc8051gm3apc,3600.0,1133.05,3600.0,2845.22,2695.44,3600.0,2335.44,2536.65,3600.0,938.46,0.3147361111111111,1.0,0.3147361111111111,0.398229310914446,1.2652800134963202,0.42035808624936927,0.3147361111111111,1.3355889947466832,1.0,0.48515483163772133,0.446671791536081,1.419194607060493,3.836071862412889
zipcpu-zipmmu-p31,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,82.47,3600.0,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.65223717715533,43.65223717715533,5538.461538461538
yosyshq_appnote_123_cv32e40x-p340,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,460.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.811821890460898
rast-p16,3600.0,3600.0,3600.0,3600.0,3600.0,0.74,3600.0,3600.0,3600.0,0.23,1.0,1.0,1.0,1.0,1.0,1.0,4864.864864864865,1.0,4864.864864864865,1.0,1.0,1.0,15652.173913043478
6s7,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2900.47,2537.08,3600.0,587.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2411781538854048,1.4189540731864978,1.4189540731864978,6.1226572332392255
yosyshq_appnote_123_cv32e40x-p131,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1087.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3107101473266014
picorv32_mutAY_nomem-p7,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1622.14,3600.0,2158.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.219290566782152,2.219290566782152,1.6677398881687753
bob12s08,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,35.98,2681.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.342417021847837
6s40p0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.38,2066.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7422530235349347
