case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,mab_vs_dynamic_ratio
6s32,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.21,2270.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5852396574120964
bobtuint30neg,0.0,0.03,0.04,0.05,0.03,0.01,0.03,0.03,0.03,0.05,inf,inf,0.75,0.6,0.7999999999999999,1.0,3.0,1.3333333333333335,4.0,1.0,1.0,1.3333333333333335,0.7999999999999999
139463p24,0.22,6.28,6.52,5.1,3.12,30.61,4.38,3.55,6.6,1.62,28.545454545454547,29.636363636363633,0.9631901840490799,1.231372549019608,1.2784313725490195,2.0128205128205128,0.20516171185886967,2.0897435897435894,0.21300228683436784,1.4337899543378996,1.7690140845070423,1.8366197183098592,4.024691358024691
cal198,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gen43,0.6,0.27,0.27,0.32,0.28,0.08,0.28,0.28,0.55,0.24,0.45000000000000007,0.45000000000000007,1.0,0.84375,0.84375,0.9642857142857143,3.375,0.9642857142857143,3.375,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.1250000000000002
pdtswvqis10x6p0,0.01,0.22,0.22,0.18,0.1,0.16,0.17,0.1,0.01,0.13,22.0,22.0,1.0,1.2222222222222223,1.2222222222222223,2.1999999999999997,1.375,2.1999999999999997,1.375,1.2941176470588234,2.1999999999999997,2.1999999999999997,1.6923076923076923
pdtvisvending02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,,,,0.0,0.0,,,,,,,,0.0
neclaftp2002,0.04,43.33,90.52,86.28,59.46,1023.71,141.47,42.31,39.31,73.36,1083.25,2263.0,0.47867874502872293,0.5022021325915623,1.049142327306444,0.7287251934073327,0.04232644010510789,1.522367978472923,0.08842347930566273,0.3062840178129639,1.024107775939494,2.1394469392578586,1.2339149400218101
cal103,8.21,173.0,166.39,117.95,163.68,61.79,166.06,107.84,146.03,132.87,21.07186358099878,20.266747868453102,1.0397259450688143,1.466723187791437,1.4106824925816022,1.0569403714565004,2.79980579381777,1.0165566959921797,2.692830555106004,1.0417921233289174,1.6042284866468843,1.5429339762611274,1.2522766613983591
bj08amba4g82,0.01,0.06,0.07,0.15,0.06,0.02,0.06,0.06,0.06,0.07,6.0,7.000000000000001,0.857142857142857,0.4,0.46666666666666673,1.0,3.0,1.1666666666666667,3.5000000000000004,1.0,1.0,1.1666666666666667,1.0
